tier,case_id,model_full,model,status,judge_status,rc,lf,gf,total,num_tool_calls,prompt_tokens,completion_tokens,tokens,cost_estimated_usd,cost_reported_usd,cost_source,elapsed_s
1,yara-1,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,13,111603,1379,112982,0.292797,0.061117500000000005,openrouter,22.285340547561646
2,yara-1,openrouter/openai/gpt-4o,gpt-4o,ok,no_prose_synthesis,0,0,0,0,6,113575,104,113679,0.284977,0.0811375,openrouter,40.797675132751465
3,yara-1,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,7,3430,73,3503,0.009305,0.070955,openrouter,7.64188814163208
4,yara-1,haiku,haiku (T4),ok,ok,1,1,1,3,23,170,6305,6475,0.007924,0.19665714999999998,anthropic_published,72.04972505569458
4,yara-1,sonnet,sonnet (T4),ok,ok,1,1,1,3,24,21,8006,8027,0.120153,0.39361005,anthropic_published,133.55657601356506
1,yara-2,openrouter/openai/gpt-4o,gpt-4o,ok,no_prose_synthesis,0,0,0,0,6,116828,129,116957,0.29336,0.07448,openrouter,50.32394218444824
2,yara-2,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,15,84580,845,85425,0.2199,0.029499999999999995,openrouter,19.648596048355103
3,yara-2,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,5,3584,132,3716,0.01028,0.051605,openrouter,9.075283527374268
4,yara-2,haiku,haiku (T4),ok,ok,1,1,1,3,19,142,7320,7462,0.009185,0.18439175000000002,anthropic_published,79.68869090080261
4,yara-2,sonnet,sonnet (T4),ok,ok,1,1,1,3,13,12,3377,3389,0.050691,0.19463975,anthropic_published,57.279483795166016
1,yara-3,openrouter/openai/gpt-4o,gpt-4o,ok,no_prose_synthesis,0,0,0,0,8,63023,179,63202,0.159348,0.07998750000000002,openrouter,45.87703227996826
2,yara-3,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,13,190770,766,191536,0.484585,0.06442500000000001,openrouter,23.045043230056763
3,yara-3,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,2,3212,386,3598,0.01189,0.027285000000000004,openrouter,7.376657962799072
4,yara-3,haiku,haiku (T4),ok,ok,1,1,1,3,19,142,4839,4981,0.006084,0.19769065,anthropic_published,67.61135530471802
4,yara-3,sonnet,sonnet (T4),ok,ok,1,1,1,3,6,5,1475,1480,0.02214,0.09866319999999999,anthropic_published,30.607691049575806
1,yara-4,openrouter/openai/gpt-4o,gpt-4o,ok,no_prose_synthesis,0,0,0,0,6,121860,129,121989,0.30594,0.07778000000000002,openrouter,46.69004559516907
2,yara-4,openrouter/openai/gpt-4o,gpt-4o,ok,no_prose_synthesis,0,0,0,0,11,59718,267,59985,0.151965,0.037405,openrouter,24.526897430419922
3,yara-4,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,9,1772,89,1861,0.00532,0.06546,openrouter,9.21522569656372
4,yara-4,haiku,haiku (T4),ok,ok,1,1,1,3,18,121,7592,7713,0.00952,0.14765455000000002,anthropic_published,92.73031377792358
4,yara-4,sonnet,sonnet (T4),ok,ok,0,0,1,1,19,16,8787,8803,0.131853,0.3565601,anthropic_published,162.5000398159027
1,yara-5,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,7,210005,645,210650,0.531462,0.1465025,openrouter,25.63361382484436
2,yara-5,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,11,75825,523,76348,0.194793,0.0658325,openrouter,11.805787801742554
3,yara-5,openrouter/openai/gpt-4o,gpt-4o,ok,ok,0,0,0,0,9,1448,128,1576,0.0049,0.06111000000000001,openrouter,9.13430142402649
4,yara-5,haiku,haiku (T4),ok,ok,0,0,0,0,54,373,12152,12525,0.015283,0.50383895,anthropic_published,193.7548701763153
4,yara-5,sonnet,sonnet (T4),ok,ok,0,0,0,0,25,359,11395,11754,0.172002,0.52636105,anthropic_published,268.6503417491913
