bug,model,status,elapsed_s,n_tool_calls,rc,mode
berry-1,Gemini-2.5-FL,no_collect,19.6,0,0,no_collect
berry-1,Llama-8B,no_collect,20.5,0,0,no_collect
berry-1,Nemotron-30B,no_collect,19.9,0,0,no_collect
berry-1,GPT-4o,ok,18.4,8,0,quick_bail
berry-1,GPT-5.5,timeout,600.0,0,0,timeout_lost
berry-1,Qwen-30B,ok,57.7,6,0,quick_bail
berry-2,Gemini-2.5-FL,ok,20.2,7,0,quick_bail
berry-2,Llama-8B,ok,10.9,0,0,quick_bail
berry-2,Nemotron-30B,no_collect,20.5,0,0,no_collect
berry-2,GPT-4o,ok,18.3,14,0,deep_wrong
berry-2,GPT-5.5,timeout,600.0,0,0,timeout_lost
berry-2,Qwen-30B,ok,172.9,52,0,deep_wrong
berry-3,Gemini-2.5-FL,ok,72.6,54,0,deep_wrong
berry-3,Llama-8B,ok,7.2,0,0,quick_bail
berry-3,Nemotron-30B,no_collect,72.8,0,0,no_collect
berry-3,GPT-4o,ok,18.6,11,0,deep_wrong
berry-3,GPT-5.5,timeout,600.0,0,0,timeout_lost
berry-3,Qwen-30B,ok,136.7,25,0,deep_wrong
berry-4,Gemini-2.5-FL,ok,38.5,31,0,deep_wrong
berry-4,Llama-8B,ok,7.5,0,0,quick_bail
berry-4,Nemotron-30B,no_collect,38.9,0,0,no_collect
berry-4,GPT-4o,ok,12.0,2,0,quick_bail
berry-4,GPT-5.5,ok,408.7,204,1,deep_correct
berry-4,Qwen-30B,ok,138.3,48,0,deep_wrong
berry-5,Gemini-2.5-FL,ok,22.5,8,0,quick_bail
berry-5,Llama-8B,ok,32.7,5,0,quick_bail
berry-5,Nemotron-30B,ok,151.4,6,0,quick_bail
berry-5,GPT-4o,ok,15.0,10,0,deep_wrong
berry-5,GPT-5.5,no_collect,130.1,0,0,no_collect
berry-5,Qwen-30B,ok,88.0,19,0,deep_wrong
