tier,case,model,rc,lf,gf,total,tools,resp_len
T1,yara-1,haiku-4.5,0,0,0,0,86,43479
T1,yara-1,sonnet-4.5,1,1,1,3,38,7871
T1,yara-2,haiku-4.5,0,0,0,0,68,56978
T1,yara-2,sonnet-4.5,1,1,1,3,36,8020
T1,yara-3,haiku-4.5,0,0,0,0,50,7662
T1,yara-3,sonnet-4.5,1,1,1,3,45,18355
T1,yara-4,haiku-4.5,0,0,0,0,99,43471
T1,yara-4,sonnet-4.5,0,0,0,0,49,11992
T1,yara-5,haiku-4.5,0,1,1,2,54,11885
T1,yara-5,sonnet-4.5,1,1,1,3,50,7590
T3,yara-1,gpt-4o,0,0,0,0,20,2737
T3,yara-2,gpt-4o,0,0,0,0,14,1917
T3,yara-3,gpt-4o,0,0,0,0,54,3336
T3,yara-4,gpt-4o,0,0,0,0,14,3301
T3,yara-1,haiku-4.5,0,0,0,0,8,414
T3,yara-1,sonnet-4.5,0,0,0,0,38,1285
T3,yara-2,sonnet-4.5,0,0,0,0,56,3642
T3,yara-4,sonnet-4.5,0,0,0,0,93,7464
T3,yara-5,sonnet-4.5,0,0,0,0,132,9008
