case_id,model_s,root_cause,local_fix,global_fix,total
double-free-errpath,Nemotron-30B,1,0,1,2
double-free-errpath,Qwen-30B,1,0,1,2
heap-overflow-csv,Nemotron-30B,1,1,1,3
heap-overflow-csv,Qwen-30B,1,1,1,3
intoverflow-alloc,Nemotron-30B,1,1,1,3
intoverflow-alloc,Qwen-30B,1,0,1,2
null-deref-env,Nemotron-30B,1,1,1,3
null-deref-env,Qwen-30B,1,1,1,3
off-by-one-crc,Nemotron-30B,1,1,0,2
off-by-one-crc,Qwen-30B,1,1,1,3
signed-unsigned-loop,Nemotron-30B,1,1,1,3
signed-unsigned-loop,Qwen-30B,1,1,1,3
uaf-linked-list,Nemotron-30B,1,0,1,2
uaf-linked-list,Qwen-30B,0,1,1,2
