suite,case_id,model,root_cause,local_fix,global_fix,total
paper-cases-fix,test-deep-recursion,Gemini-3.1-Flash-Lite,0,0,0,0
paper-cases-fix,test-deep-recursion,Nemotron-30B,1,1,1,3
paper-cases-fix,test-deep-recursion,GPT-5.5,1,1,1,3
paper-cases-fix,test-deep-recursion,Qwen-30B,1,1,0,2
paper-cases-fix,test-definition-likely,Gemini-3.1-Flash-Lite,0,0,0,0
paper-cases-fix,test-definition-likely,Nemotron-30B,1,1,1,3
paper-cases-fix,test-definition-likely,GPT-5.5,1,1,1,3
paper-cases,test-failed-assert,Gemini-3.1-Flash-Lite,1,1,0,2
paper-cases,test-failed-assert,Nemotron-30B,1,1,1,3
paper-cases,test-failed-assert,GPT-5.5,1,1,1,3
paper-cases,test-failed-assert,Qwen-30B,1,1,1,3
paper-cases,test-out-of-bounds-read,Gemini-3.1-Flash-Lite,1,1,0,2
paper-cases,test-out-of-bounds-read,Nemotron-30B,1,1,0,2
paper-cases,test-out-of-bounds-read,GPT-5.5,1,1,1,3
paper-cases,test-out-of-bounds-read,Qwen-30B,1,1,1,3
paper-cases,test-overflow,Gemini-3.1-Flash-Lite,0,0,0,0
paper-cases,test-overflow,Nemotron-30B,0,0,0,0
paper-cases,test-overflow,GPT-5.5,1,1,1,3
paper-cases,test-overflow,Qwen-30B,0,0,0,0
paper-cases,test-stack-overflow,Gemini-3.1-Flash-Lite,1,1,1,3
paper-cases,test-stack-overflow,Nemotron-30B,1,1,1,3
paper-cases,test-stack-overflow,GPT-5.5,1,1,1,3
paper-cases,test-stack-overflow,Qwen-30B,1,1,1,3
paper-cases,test-use-after-free,Gemini-3.1-Flash-Lite,0,0,0,0
paper-cases,test-use-after-free,Nemotron-30B,1,1,1,3
paper-cases,test-use-after-free,GPT-5.5,1,1,1,3
paper-cases,test-use-after-free,Qwen-30B,1,1,1,3
full-synthetic-v1-stripped,double-free-errpath,Gemini-3.1-Flash-Lite,0,0,0,0
full-synthetic-v1-stripped,double-free-errpath,Nemotron-30B,1,0,1,2
full-synthetic-v1-stripped,double-free-errpath,GPT-5.5,1,1,1,3
full-synthetic-v1-stripped,double-free-errpath,Qwen-30B,1,0,1,2
full-synthetic-v1-stripped,heap-overflow-csv,Gemini-3.1-Flash-Lite,0,0,0,0
full-synthetic-v1-stripped,heap-overflow-csv,Nemotron-30B,1,1,0,2
full-synthetic-v1-stripped,heap-overflow-csv,GPT-5.5,1,1,0,2
full-synthetic-v1-stripped,heap-overflow-csv,Qwen-30B,1,1,1,3
full-synthetic-v1-stripped,intoverflow-alloc,Gemini-3.1-Flash-Lite,0,0,0,0
full-synthetic-v1-stripped,intoverflow-alloc,Nemotron-30B,1,1,1,3
full-synthetic-v1-stripped,intoverflow-alloc,GPT-5.5,1,1,1,3
full-synthetic-v1-stripped,intoverflow-alloc,Qwen-30B,1,1,1,3
full-synthetic-v1-stripped,null-deref-env,Gemini-3.1-Flash-Lite,1,1,0,2
full-synthetic-v1-stripped,null-deref-env,Nemotron-30B,1,1,1,3
full-synthetic-v1-stripped,null-deref-env,GPT-5.5,1,1,0,2
full-synthetic-v1-stripped,null-deref-env,Qwen-30B,1,1,0,2
full-synthetic-v1-stripped,off-by-one-crc,Gemini-3.1-Flash-Lite,0,0,0,0
full-synthetic-v1-stripped,off-by-one-crc,Nemotron-30B,1,1,0,2
full-synthetic-v1-stripped,off-by-one-crc,GPT-5.5,1,1,0,2
full-synthetic-v1-stripped,off-by-one-crc,Qwen-30B,1,1,0,2
full-synthetic-v1-stripped,signed-unsigned-loop,Gemini-3.1-Flash-Lite,1,1,1,3
full-synthetic-v1-stripped,signed-unsigned-loop,Nemotron-30B,1,1,1,3
full-synthetic-v1-stripped,signed-unsigned-loop,GPT-5.5,1,1,1,3
full-synthetic-v1-stripped,signed-unsigned-loop,Qwen-30B,1,1,1,3
full-synthetic-v1-stripped,uaf-linked-list,Gemini-3.1-Flash-Lite,1,1,1,3
full-synthetic-v1-stripped,uaf-linked-list,Nemotron-30B,1,1,1,3
full-synthetic-v1-stripped,uaf-linked-list,GPT-5.5,1,1,1,3
full-synthetic-v1-stripped,uaf-linked-list,Qwen-30B,1,1,1,3
full-synthetic-v1-stripped,uninit-stack-accumulator,Gemini-3.1-Flash-Lite,0,0,0,0
full-synthetic-v1-stripped,uninit-stack-accumulator,Nemotron-30B,0,0,0,0
full-synthetic-v1-stripped,uninit-stack-accumulator,GPT-5.5,1,1,1,3
full-synthetic-v1-stripped,uninit-stack-accumulator,Qwen-30B,0,0,0,0
injected-cases,cjson-parse-string-oob,Gemini-3.1-Flash-Lite,0,0,0,0
injected-cases,cjson-parse-string-oob,Nemotron-30B,1,1,1,3
injected-cases,cjson-parse-string-oob,GPT-5.5,1,1,1,3
injected-cases,cjson-parse-string-oob,Qwen-30B,1,1,1,3
