model,tool_config,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
haiku,tier4_claude_code.json,11,,,,0.0,0,0,0,0,{}
openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,11,1,0,1,170.6279,18004.6364,1283.9091,4.9091,0,"{""ls"": 7, ""cat"": 17, ""prog"": 7, ""gdb"": 7, ""echo"": 15, ""find"": 1}"
openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,11,,,,182.8531,16918.0909,745.2727,4.0909,0,"{""nl"": 5, ""run"": 5, ""echo"": 11, ""cat"": 8, ""grep"": 4, ""gcc"": 1, ""interrupt"": 1, ""file"": 1, ""timeout"": 1, ""info"": 1, ""bt"": 1, ""frame"": 1, ""python3"": 2, ""print"": 2, ""delete"": 1}"
openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,11,,,,58.266,2774.3636,258.7273,9.7273,158.2727,"{""bt"": 3, ""info"": 33, ""run"": 5, ""where"": 3, ""frame"": 6, ""list"": 9, ""code"": 19, ""backtrace"": 4, ""break"": 1, ""start"": 1, ""show"": 2, ""help"": 1, ""print"": 7, ""x/64x"": 1, ""disassemble"": 2, ""file"": 1, ""shell"": 2, ""p"": 4, ""p/x"": 1, ""x/32bx"": 1, ""x/8bx"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,11,,,,35.1805,5166.1818,458.5455,2.1818,0,"{""ls"": 11, ""echo"": 12, ""sed"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,11,0,0,0,45.0522,13359.9091,286,4.0909,0,"{""nl"": 10, ""run"": 10, ""echo"": 14, ""#"": 5, ""frame"": 4, ""break"": 1, ""print"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,11,,,,38.0411,5181.4545,474.9091,19.9091,216.6364,"{""run"": 39, ""start"": 11, ""backtrace"": 4, ""help"": 5, ""list"": 31, ""break"": 17, ""gdb"": 9, ""file"": 2, ""r"": 3, ""b"": 9, ""run`"": 1, ""-exec"": 1, ""br"": 1, ""code"": 32, ""bt"": 3, ""startI"": 1, ""info"": 18, ""catch"": 1, ""display/i"": 1, ""shell"": 4, ""set"": 5, ""disassemble"": 3, ""n"": 1, ""x/20i"": 1, ""print"": 3, ""p"": 4, ""breakpoint"": 1, ""tbreak"": 1, ""frame"": 4, ""f"": 1, ""where"": 1, ""ls"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,11,,,,117.3384,532,755,0.7273,0,"{""echo"": 7, ""cat"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,11,,,,270.6401,837.3636,92.3636,0.2727,0,"{""prog"": 1, ""nl"": 1, ""echo"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,11,0,0,0,131.5689,1425.7273,3008.9091,4.8182,531.0909,"{""bt"": 7, ""code"": 31, ""list"": 3, ""info"": 10, ""run"": 2}"
openrouter/openai/gpt-5.5,tier1_bash_only.json,11,,,,83.2402,9686.0909,1375.6364,4.5455,0,"{""ls"": 8, ""prog"": 4, ""python3"": 1, ""echo"": 12, ""printf"": 5, ""gdb"": 7, ""nl"": 4, ""set"": 1, ""prog;"": 5, ""cat"": 2, ""file"": 1}"
openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,11,,,,56.0251,14239.7273,1171.9091,5,0,"{""nl"": 11, ""run"": 11, ""break"": 10, ""print"": 5, ""echo"": 11, ""bt"": 1, ""p"": 1, ""grep"": 2, ""frame"": 2, ""y"": 1}"
openrouter/openai/gpt-5.5,tier3_gdb_only.json,11,0,0,0,71.3519,1737.6364,287.6364,9.8182,265.8182,"{""bt"": 9, ""info"": 27, ""pwd"": 5, ""shell"": 5, ""code"": 36, ""run"": 5, ""list"": 6, ""break"": 4, ""disassemble"": 3, ""print"": 2, ""x/40i"": 1, ""start"": 2, ""x/30i"": 1, ""p"": 1, ""ptype"": 1}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,11,0,0,0,105.3315,10049.3636,390.6364,3.5455,0,"{""ls"": 8, ""cat"": 7, ""prog"": 8, ""gdb"": 8, ""echo"": 8}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,11,,,,134.3635,8444.1818,474.5455,2.9091,0,"{""nl"": 7, ""run"": 9, ""frame"": 9, ""echo"": 7}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,11,0,0,0,30.554,3575.6364,443.8182,9.4545,282.5455,"{""info"": 28, ""bt"": 4, ""list"": 3, ""disassemble"": 2, ""print"": 14, ""code"": 31, ""run"": 4, ""set"": 2, ""break"": 3, ""file"": 2, ""frame"": 3, ""x/s"": 2, ""backtrace"": 2, ""x/10x"": 1, ""find"": 1, ""ls"": 1, ""show"": 1}"
sonnet,tier4_claude_code.json,11,,,,0.0,0,0,0,0,{}
