model,tool_config,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
openrouter/google/gemini-2.5-flash,tier1_bash_only.json,5,0,0,0,144.7818,891467,8760,77.2,0,"{""berry"": 142, ""cat"": 61, ""find"": 52, ""grep"": 36, ""echo"": 92, ""ls"": 2, ""gdb"": 1}"
openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,5,0,0,0,30.6262,3520.4,636.8,14.8,96.8,"{""code"": 6, ""b"": 7, ""r"": 5, ""p"": 34, ""up"": 1, ""d"": 1, ""del"": 5, ""bt"": 2, ""x/i"": 2, ""n"": 1, ""run"": 2, ""disassemble"": 1, ""shell"": 6, ""info"": 1}"
openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,5,0,0,0,359.0324,296416.6,2666.4,38.4,0,"{""cd"": 12, ""echo"": 178, ""find"": 2}"
openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,5,0,0,0,20.6828,2242,131,4.6,465.4,"{""bt"": 1, ""code"": 10, ""print"": 7, ""info"": 5}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,5,0,0,0,540.9752,0,0,0,0,{}
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,5,0,0,0,30.9566,0,0,0,0,{}
openrouter/openai/gpt-4o,tier1_bash_only.json,5,0,0,0,327.5648,1700294.8,18564.2,97,0,"{""berry"": 3, ""find"": 6, ""cat"": 5, ""grep"": 107, ""echo"": 350, ""ls"": 2, ""cd"": 12}"
openrouter/openai/gpt-4o,tier3_gdb_only.json,5,0,0,0,26.2288,1897,389.2,5,166.6,"{""info"": 2, ""code"": 15, ""frame"": 2, ""print"": 1, ""break"": 2, ""continue"": 2, ""run"": 1}"
openrouter/openai/gpt-5.5,tier1_bash_only.json,5,0,0,0,541.0064,0,0,0,0,{}
openrouter/openai/gpt-5.5,tier3_gdb_only.json,5,0,0,0,37.319,0,0,0,0,{}
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,5,0,0,0,371.2878,486157.2,3896,62,0,"{""ls"": 4, ""cat"": 28, ""find"": 9, ""grep"": 20, ""echo"": 243, ""cd"": 2, ""pwd"": 1, ""if"": 1, ""docker"": 1, ""gdb"": 1}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,5,0,0,0,28.973,0,0,0,0,{}
